Designator,Mid X,Mid Y,Rotation,Layer
J1,112.525,-78.4,180.0,top
J2,90.135,-78.4,180.0,top
J3,58.8425,-77.8,180.0,top
J4,110.22,-111.4225,270.0,bottom
J5,49.325,-180.3,0.0,top
J6,50.075,-158.3,90.0,top
Q1,59.075,-181.75,0.0,top
Q2,50.795,-145.15,270.0,top
Q3,64.065,-145.0,270.0,top
Q4,76.865,-144.5,270.0,top
Q5,89.365,-142.0,270.0,top
Q6,102.905,-142.0,270.0,top
Q7,115.635,-141.27,270.0,top
Q8,101.375,-116.65,270.0,top
Q9,70.875,-116.65,270.0,top
R1,74.24,-82.26,0.0,top
R10,76.62,-133.27,180.0,top
R11,74.32,-75.26,0.0,top
R12,73.08,-183.0,0.0,top
R13,87.0,-183.0,180.0,top
R14,50.43,-123.27,0.0,top
R15,63.35,-138.27,180.0,top
R16,76.7,-138.27,0.0,top
R17,74.3675,-94.26,90.0,top
R18,106.3675,-94.18,90.0,top
R19,74.3675,-107.34,270.0,top
R2,50.51,-128.27,180.0,top
R20,43.3675,-108.26,270.0,top
R21,89.19,-126.0,180.0,top
R22,89.27,-131.0,0.0,top
R23,89.42,-135.5,180.0,top
R24,102.27,-126.0,180.0,top
R25,102.35,-131.0,0.0,top
R26,102.92,-135.5,180.0,top
R27,115.34,-125.5,180.0,top
R28,115.42,-130.5,0.0,top
R29,115.92,-135.5,180.0,top
R3,50.43,-133.27,180.0,top
R30,115.42,-146.5,0.0,top
R31,101.92,-146.5,0.0,top
R32,88.42,-146.5,0.0,top
R33,91.66,-115.38,180.0,top
R34,91.66,-118.38,0.0,top
R35,61.66,-115.38,180.0,top
R36,61.66,-118.38,0.0,top
R4,50.19,-138.27,180.0,top
R5,63.43,-123.27,180.0,top
R6,63.35,-128.27,180.0,top
R7,63.35,-133.27,180.0,top
R8,76.54,-123.27,180.0,top
R9,76.62,-128.27,0.0,top
SW1,54.876,-171.8,0.0,top
U1,97.855,-100.88,0.0,top
U2,82.235,-100.88,180.0,top
U3,51.3175,-101.26,180.0,top
U4,92.0,-165.025,90.0,top
U5,66.1775,-101.26,0.0,top
U6,62.075,-158.84,90.0,top
